from	to	mean	stderr of mean	stdev	variance	median	value range	geometric mean	95% HPD interval	auto-correlation time (ACT)	effective sample size (ESS)	number of samples
Poland	Netherlands	0.8945	0.0646	0.8909	0.7938	0.6264	"[4.4003E-3, 10.4873]"	0.5143	"[4.4003E-3, 2.5265]"	1.87E+05	190.1	3550
Scotland	Netherlands	0.8172	0.0644	0.8073	0.6517	0.6142	"[5.7324E-3, 6.5276]"	0.4949	"[5.7324E-3, 2.4701]"	2.26E+05	157.3	3550
Spain	Netherlands	0.8863	0.1178	0.9675	0.936	0.5902	"[3.5748E-6, 6.5989]"	0.3453	"[3.5748E-6, 2.6171]"	5.26E+05	67.5	3550
Wales	Netherlands	1.0281	0.092	1.0237	1.048	0.7235	"[2.0139E-3, 6.7198]"	0.5795	"[2.0139E-3, 3.2475]"	2.87E+05	123.7	3550
Scotland	Poland	0.9774	0.0729	0.9345	0.8734	0.6964	"[0.0186, 7.3602]"	0.622	"[0.0186, 2.8126]"	2.16E+05	164.4	3550
Spain	Poland	1.0347	0.0989	1.0156	1.0314	0.7192	"[3.0911E-3, 7.8273]"	0.5501	"[3.0911E-3, 3.2218]"	3.37E+05	105.4	3550
Wales	Poland	1.0813	0.095	1.0548	1.1125	0.7435	"[4.9753E-3, 6.4724]"	0.6197	"[4.9753E-3, 3.2831]"	2.88E+05	123.3	3550
Spain	Scotland	0.9543	0.0707	0.9212	0.8485	0.6408	"[4.577E-4, 6.8678]"	0.5327	"[1.4866E-3, 2.7]"	2.09E+05	169.7	3550
Wales	Scotland	0.9503	0.1297	1.0023	1.0046	0.6646	"[7.581E-4, 8.1178]"	0.459	"[2.232E-3, 2.8119]"	5.95E+05	59.7	3550
Wales	Spain	0.9126	0.0799	0.9039	0.8171	0.6757	"[3.2978E-3, 6.782]"	0.5332	"[3.2978E-3, 2.5609]"	2.77E+05	128.1	3550
