Groups	Time	GC
annotated	2000.642	42.9558
annotated	2000.68	42.9323
annotated	2000.653	42.9368
annotated	2000.626	42.948
annotated	2000.62	42.9558
annotated	2000.56	42.9558
annotated	2000.678	42.9166
annotated	2000.549	42.9558
annotated	2000.631	42.9581
annotated	2000.713	42.948
annotated	2000.806	42.9558
annotated	2000.56	42.9323
annotated	2000.467	42.9637
annotated	2000.648	42.9323
annotated	2000.699	42.9558
annotated	2000.705	42.9401
annotated	2000.735	42.9244
annotated	2000.464	42.9715
annotated	2000.563	42.9637
annotated	2000.721	42.948
annotated	2000.779	42.9323
annotated	2000.76	42.911
annotated	2000.839	42.9087
annotated	2000.855	42.9244
annotated	2000.68	42.948
annotated	2000.735	42.9401
annotated	2000.658	42.9401
annotated	2000.639	42.9872
annotated	2000.658	42.9401
annotated	2000.658	42.9637
annotated	2000.568	42.948
annotated	2000.464	42.9637
annotated	2000	42.9558
annotated	2000.743	42.9558
annotated	2000.508	42.948
annotated	2000.719	42.9715
annotated	2000.661	42.9558
annotated	2000.664	42.948
annotated	2000.544	42.948
annotated	2000.675	42.9558
annotated	2000.675	42.948
annotated	2000.541	42.948
annotated	2000.716	42.948
annotated	2000.623	42.9558
annotated	2000.751	42.9637
annotated	2000.642	42.9705
annotated	2000.683	42.9267
annotated	2001	42.9973
annotated	2001.463	42.9558
annotated	1999.997	42.9244
annotated	2000	43.034
annotated	2000	42.9971
annotated	2001	42.9872
annotated	2000	42.948
annotated	2001.019	42.9951
annotated	2001.019	42.9794
annotated	2001.019	42.9885
annotated	1999	42.948
annotated	1999	42.9637
annotated	1999	42.9558
annotated	1999	42.9794
annotated	1999	43.0735
annotated	1998.071	42.9715
annotated	1998	43.0657
annotated	1997.997	42.9715
annotated	1997.041	43.0421
annotated	1997.041	43.0186
annotated	1997	42.9794
annotated	1995	43.0343
annotated	1996	43.1363
annotated	1996	43.0578
annotated	1996	43.0657
annotated	1996	43.0657
annotated	1996	43.0657
annotated	1996	43.0657
annotated	1996	43.0735
annotated	1996	43.0578
annotated	1996	43.0657
annotated	1996	43.0657
annotated	1996	43.0578
annotated	1996	43.0578
annotated	1996	43.05
annotated	1997	42.9794
annotated	1997.86	42.9715
annotated	1997.822	42.9872
annotated	1997.923	43.0029
annotated	2000.68	42.9244
annotated	2000.617	42.9558
annotated	2000	42.8852
annotated	2001.019	42.9401
annotated	2000.962	42.9188
annotated	2001.038	42.8616
annotated	2001.077	42.8773
annotated	2001.101	42.9009
annotated	2001.063	42.9076
annotated	2001.09	42.8852
annotated	2001.06	42.893
annotated	2001	42.8538
annotated	2001.156	42.8527
annotated	2001.592	42.8302
annotated	2001.425	42.791
annotated	2001.077	42.8616
annotated	2001.074	42.8347
annotated	2001.066	42.8504
annotated	2001.058	42.8302
annotated	2001.06	42.8695
annotated	2000	42.8852
annotated	2000	42.9188
annotated	2000.964	42.8459
annotated	2001.06	42.9087
annotated	2001.066	42.9177
annotated	2001.466	42.9009
annotated	2001.54	42.8773
annotated	2001.479	42.8616
annotated	2001.54	42.8773
annotated	2001.622	42.893
annotated	2001.523	42.8695
annotated	2001.499	42.8773
annotated	2001.479	42.8695
annotated	2001.537	42.9132
annotated	2001.419	42.8773
annotated	2001.556	42.8773
annotated	2001.542	42.9323
annotated	2001.43	42.8381
annotated	2001.542	42.8459
annotated	2001.545	42.8538
annotated	2001.523	42.8616
annotated	2001.622	42.8381
annotated	2001.537	42.8852
annotated	2001.605	42.893
annotated	2001.427	42.9031
annotated	2001.523	42.9087
annotated	2001.537	42.8773
annotated	2001.592	42.8773
annotated	2001.529	42.8852
annotated	2001.512	42.8852
annotated	2001.521	42.893
annotated	2001.499	42.8852
annotated	2001.499	42.9009
annotated	2001.504	42.9054
annotated	2001.521	42.893
annotated	2001.293	42.9009
annotated	2001.405	42.8773
annotated	2001.389	42.893
annotated	2001.375	42.8695
annotated	2001.499	42.9009
annotated	2001.488	42.8773
annotated	2001.679	42.9244
annotated	2001.54	42.9087
annotated	2001.46	42.893
annotated	2001.471	42.893
annotated	2001.425	42.9244
annotated	2001.488	42.8852
annotated	2001.43	42.8773
annotated	2001.616	42.8773
annotated	2001.521	42.8773
annotated	2001.575	42.9009
annotated	2001.414	42.8874
annotated	2001.523	42.8852
annotated	2001.49	42.8695
annotated	2001.504	42.8852
annotated	2001.433	42.893
annotated	2001.638	42.8661
annotated	2001.501	42.8773
annotated	2001.468	42.8852
annotated	2002.074	42.8616
annotated	2002.005	42.8695
annotated	2002.011	42.9244
annotated	2002	42.9401
annotated	2001.556	42.893
annotated	2001.501	42.893
annotated	2001.616	42.8773
annotated	2001.507	42.8695
annotated	2001.54	42.8616
annotated	2001	42.8459
annotated	2001.405	42.8852
annotated	2001.54	42.9009
annotated	2001.504	42.8852
annotated	2001.479	42.8459
annotated	2001	42.9087
annotated	2001.567	42.8852
annotated	2001.548	42.9166
annotated	2001.542	42.9166
annotated	2001.57	42.9401
annotated	2001.518	42.8852
annotated	2001.507	42.9166
annotated	2001.507	42.9244
annotated	2001.545	42.9289
annotated	2001.488	42.8773
annotated	2001.115	42.8773
annotated	2001.049	42.8863
annotated	2001.063	42.9087
annotated	2001.058	42.9009
annotated	2001.068	42.893
annotated	2001.159	42.9345
annotated	2001.14	42.9244
annotated	2001.14	42.9166
annotated	2002	42.8538
annotated	2000	42.9244
annotated	2001	42.8852
annotated	2001.03	42.9323
annotated	2001.025	42.8874
annotated	2001.025	42.9009
annotated	2000	42.9715
annotated	2001	42.9872
annotated	2000.68	42.9951
annotated	2000	42.9637
annotated	2000	42.9401
annotated	2002	42.8773
annotated	2003.06	42.8134
annotated	2003.159	42.9166
annotated	2003.173	42.9166
annotated	2003.052	42.8773
annotated	2002.984	42.893
annotated	2003.036	42.911
annotated	2003.038	42.8302
annotated	2003.055	42.8381
annotated	2003.058	42.893
annotated	2003.074	42.9244
annotated	2003	42.9009
annotated	2003.227	42.9267
annotated	2003	42.893
annotated	2003.071	42.8773
annotated	2003.115	42.8773
annotated	2003.216	42.874
annotated	2003.036	42.8796
annotated	2003.151	42.9166
annotated	2003	42.9087
annotated	2005	42.8773
annotated	2005.603	42.9087
annotated	2005.715	42.8403
annotated	2005.718	42.9076
annotated	2005.699	42.8852
annotated	2005.679	42.9087
annotated	2005.685	42.8919
annotated	2005	42.9166
annotated	2005.682	42.8852
annotated	2005.759	42.893
annotated	2005	42.9558
annotated	2005.496	42.8773
annotated	2006.271	42.8919
annotated	2005	42.893
annotated	2007.142	42.7831
annotated	2007.118	42.7753
annotated	2007.137	42.791
annotated	2007.06	42.7674
annotated	2007.06	42.7674
annotated	2007.077	42.7596
annotated	2007.123	42.8067
annotated	2007.134	42.7282
annotated	2007.082	42.8067
annotated	2007.123	42.7596
annotated	2007.099	42.7864
annotated	2007.099	42.791
annotated	2007.153	42.8381
annotated	2007.115	42.8381
annotated	2007.121	42.791
annotated	2007.178	42.8538
annotated	2007.173	42.8302
annotated	2007.096	42.8224
annotated	2007.047	42.8224
annotated	2007.184	42.8224
annotated	2007.099	42.8302
annotated	2007.145	42.8616
annotated	2007.079	42.8538
annotated	2006.989	42.8695
annotated	2007.077	42.8302
annotated	2007.178	42.8538
annotated	2007.181	42.8695
annotated	2007.096	42.8538
annotated	2007.099	42.8538
annotated	2007.156	42.8616
annotated	2007.153	42.8695
annotated	2007.178	42.8538
annotated	2007.079	42.8459
annotated	2007.137	42.8055
annotated	2007.107	42.8302
annotated	2007.153	42.8381
annotated	2007.142	42.8302
annotated	2007.118	42.9087
annotated	2007.118	42.7517
annotated	2007.079	42.8616
annotated	2007.077	42.8381
annotated	2007.077	42.8224
annotated	2007.066	42.8224
annotated	2007.077	42.8381
annotated	2007.104	42.8381
annotated	2007.082	42.8145
annotated	2007.085	42.8302
annotated	2007.079	42.8381
annotated	2007.085	42.8224
annotated	2007.153	42.8302
annotated	2007.145	42.8538
annotated	2007.175	42.8538
annotated	2007.03	42.8145
annotated	2007.153	42.7674
annotated	2007.134	42.8302
annotated	2007.162	42.8538
annotated	2007.079	42.7988
