FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Finland	Austria	0.5520988508311688	0.030934112775545
France	Austria	0.8670963109128155	0.04774083546462063
Gambia	Austria	0.4939707147286918	0.027767628790646693
Germany	Austria	1.3512089554821638	0.07246376811594203
Isle_of_Man	Austria	1.3634587804628853	0.0730727073438071
Italy	Austria	1.0762125869485881	0.05857995372061868
Jersey	Austria	1.2368419805995157	0.06673973937401047
Leningrad_region	Austria	1.3365303801064194	0.07173304104250396
Luxembourg	Austria	1.1861940564940767	0.06418219461697723
Netherlands	Austria	0.3283950879146525	0.018633540372670808
Poland	Austria	3.6011030903020824	0.17232980148581173
Scotland	Austria	0.37224646815373275	0.021069297284131042
Spain	Austria	0.36345874316078297	0.020582145901838995
Wales	Austria	1.0738362207324297	0.05845816587504567
Czech_Republic	Belgium	0.39645787117872083	0.022408963585434174
Denmark	Belgium	0.9886945713655508	0.05407380343441724
England	Belgium	2.9343177043496427	0.14504932407745708
Finland	Belgium	0.8276930814592122	0.04567044208987943
France	Belgium	0.8462144587833113	0.04664474485446352
Gambia	Belgium	0.4583873761215652	0.025819023261478505
Germany	Belgium	1.1119320047394896	0.06040677140421386
Isle_of_Man	Belgium	0.9863407905723561	0.053952015588844236
Italy	Belgium	0.36565485476050097	0.020703933747412008
Jersey	Belgium	0.9206800887020593	0.050541955912799905
Leningrad_region	Belgium	0.9628362708748194	0.05273413713311412
Luxembourg	Belgium	0.9934039517136608	0.05431737912556327
Netherlands	Belgium	3719.892477694581	0.9953720618682256
Poland	Belgium	0.4185258922606099	0.023626842041164293
Scotland	Belgium	0.6922571226262516	0.038484959201071735
Spain	Belgium	0.19813736642103572	0.0113262696382901
Wales	Belgium	0.9934039517136608	0.05431737912556327
Denmark	Czech_Republic	0.7036561921780882	0.03909389842893679
England	Czech_Republic	0.22835831508247426	0.013031299476312264
Finland	Czech_Republic	0.6854246086659587	0.0381195956643527
France	Czech_Republic	1.0619636051359302	0.05784922664718061
Gambia	Czech_Republic	0.41631661307347684	0.02350505419559128
Germany	Czech_Republic	1.10477701382154	0.060041407867494824
Isle_of_Man	Czech_Republic	1.1693728783889328	0.06332967969796614
Italy	Czech_Republic	70989.27561955545	0.999756424308854
Jersey	Czech_Republic	0.9206800887020593	0.050541955912799905
Leningrad_region	Czech_Republic	1.0122657576508896	0.05529168189014736
Luxembourg	Czech_Republic	1.174175803999171	0.06357325538911217
Netherlands	Czech_Republic	1.2465206940664286	0.06722689075630252
Poland	Czech_Republic	0.9651840027638571	0.05285592497868713
Scotland	Czech_Republic	0.5408908795419182	0.03032517354767994
Spain	Czech_Republic	0.23268411931482536	0.013274875167458287
Wales	Czech_Republic	1.1453956708722979	0.062111801242236024
England	Denmark	0.4939707147286918	0.027767628790646693
Finland	Denmark	0.7792539161360292	0.043112897332846185
France	Denmark	2.137084508900526	0.10997442455242967
Gambia	Denmark	0.7654616776420896	0.04238217025940811
Germany	Denmark	2.187738730829785	0.1122883936183169
Isle_of_Man	Denmark	1.0122657576508896	0.05529168189014736
Italy	Denmark	0.41189970752653293	0.023261478504445255
Jersey	Denmark	1.2030459101877928	0.0650347095359883
Leningrad_region	Denmark	1.7871835515455567	0.09365485324564608
Luxembourg	Denmark	1.677557058317255	0.08841797588600658
Netherlands	Denmark	13.081668083911685	0.4306418219461698
Poland	Denmark	3.8091682868055363	0.18048958713920352
Scotland	Denmark	0.4783854684941108	0.026915113871635612
Spain	Denmark	0.4650484048883085	0.02618438679819754
Wales	Denmark	1.0952456739386116	0.059554256485202774
Finland	England	0.7105025713421618	0.03945926196565583
France	England	1.2078663715663882	0.06527828522713433
Gambia	England	0.7173541608404548	0.039824625502374866
Germany	England	1.6320399890925714	0.08622579466569237
Isle_of_Man	England	1.1238693631278884	0.06101571063207892
Italy	England	0.2869374273174455	0.016319571306783583
Jersey	England	1.51919709589346	0.08074534161490683
Leningrad_region	England	0.9722308224061014	0.05322128851540616
Luxembourg	England	1.6169161260328315	0.0854950675922543
Netherlands	England	28.54479076309486	0.6227012544148094
Poland	England	2.107878585887847	0.10863475825112653
Scotland	England	301.8351819728388	0.9458044087200097
Spain	England	0.4872879779349652	0.02740226525392766
