family,GC
Anatidae,45.3688428
Anatidae,45.3688428
Anatidae,45.37669888
Anatidae,45.3688428
Anatidae,45.3688428
Anatidae,45.3688428
Anatidae,45.36098672
Anatidae,45.3688428
Anatidae,45.36098672
Anatidae,45.3688428
Anatidae,45.2352895
Anatidae,45.22743342
Anatidae,45.29813811
Anatidae,45.36098672
Anatidae,45.2352895
Anatidae,45.21957734
Anatidae,45.21172127
Anatidae,45.37669888
Anatidae,45.40812318
Anatidae,45.41597926
Anatidae,45.40026711
Anatidae,45.32956242
Anatidae,45.3688428
Anatidae,45.41597926
Anatidae,45.41597926
Anatidae,45.43954749
Anatidae,45.43169141
Anatidae,45.40812318
Anatidae,45.40026711
Anatidae,45.42383534
Anatidae,45.42383534
Anatidae,45.40812318
Anatidae,45.40812318
Anatidae,45.3688428
Anatidae,45.40026711
Anatidae,45.42383534
Anatidae,45.42383534
Anatidae,45.25100165
Anatidae,45.41597926
Anatidae,45.41597926
Anatidae,45.41597926
Anatidae,45.42383534
Anatidae,45.40812318
Anatidae,45.40812318
Anatidae,45.40812318
Anatidae,45.40812318
Anatidae,45.40812318
Anatidae,45.40812318
Anatidae,45.41597926
Anatidae,45.40812318
Anatidae,44.98389504
Anatidae,44.82948295
Anatidae,44.82948295
Anatidae,44.82677351
Anatidae,44.82677351
Anatidae,44.84248566
Anatidae,44.85034174
Anatidae,44.79805123
Anatidae,44.8974782
Anatidae,44.96032681
Anatidae,44.70375609
Anatidae,44.92104643
Anatidae,44.88176605
Anatidae,44.85819782
Anatidae,44.85819782
Anatidae,45.15165802
Anatidae,44.85034174
Anatidae,44.82677351
Anatidae,44.74531042
Anatidae,44.61973158
Anatidae,44.74531042
Anatidae,44.77670513
Anatidae,44.76100777
Anatidae,44.53339612
Anatidae,44.2612655
Anatidae,44.37642257
Anatidae,44.44706067
Anatidae,44.37642257
Anatidae,44.3685739
Anatidae,44.35287654
Anatidae,44.33717919
Anatidae,44.84734322
Anatidae,44.86304058
Anatidae,45.17977705
Anatidae,44.70606703
Anatidae,45.03061705
Anatidae,45.02276653
Anatidae,44.82379719
Anatidae,44.7845538
Anatidae,44.97292206
Anatidae,44.98861942
Anatidae,44.82650338
Anatidae,44.88145706
Anatidae,44.90500864
Anatidae,44.82650338
Anatidae,44.93367868
Anatidae,44.99921495
Anatidae,44.99136442
Anatidae,44.86304058
Anatidae,44.87873793
Anatidae,44.84734322
Anatidae,45.11697284
Anatidae,44.76100777
Anatidae,44.76885645
Anatidae,44.95290424
Anatidae,44.94426127
Anatidae,44.95996232
Anatidae,44.72069237
Anatidae,44.4706067
Anatidae,44.62758025
Anatidae,44.72795792
Anatidae,44.70828747
Anatidae,44.93049556
Anatidae,44.70606703
Anatidae,44.67232438
Anatidae,44.65112629
Anatidae,44.81594851
Anatidae,44.82379719
Anatidae,45.03804817
Anatidae,44.682521
Anatidae,44.682521
Anatidae,44.67467232
Anatidae,44.77154969
Anatidae,44.76369917
Anatidae,44.75936249
