Group,GenomicGC,Label
AvH91,45.03888758,Av
AvH91,44.77963705,Av
AvH91,44.73250059,Av
AvH91,44.59374509,Av
AvH91,44.77178097,Av
AvH91,44.77963705,Av
AvH91,44.74035667,Av
AvH91,44.77178097,Av
AvH91,44.78749313,Av
AvH91,44.77178097,Av
AvH91,44.7639249,Av
AvH91,44.77963705,Av
AvH91,44.72464451,Av
AvH91,44.77178097,Av
AvH91,44.74821274,Av
AvH91,44.7953492,Av
AvH91,44.59894729,Av
AvH91,44.77178097,Av
AvH91,44.7953492,Av
AvH91,44.7953492,Av
AvH91,44.83462959,Av
AvH91,44.7953492,Av
AvH91,44.97603897,Av
AvH91,44.79264844,Av
AvH91,44.78749313,Av
AvH91,44.56752298,Av
AvH91,44.57537906,Av
AvH91,44.86605389,Av
AvH91,44.86605389,Av
AvH91,44.90533428,Av
AvH91,44.92104643,Av
AvH91,44.92104643,Av
AvH91,44.88962212,Av
AvH91,44.88962212,Av
AvH91,44.90533428,Av
AvH91,44.88962212,Av
AvH91,44.88176605,Av
AvH91,44.8974782,Av
AvH91,44.8974782,Av
AvH91,44.8974782,Av
AvH91,44.86605389,Av
AvH91,44.95247074,Av
AvH91,44.96032681,Av
AvH91,44.94461466,Av
AvH91,44.98526316,Av
AvH91,44.64608375,Av
AvH91,44.63037159,Av
AvH91,44.63906999,Av
AvH91,44.60414703,Av
AvH91,45.01531935,Av
AvH91,44.63037159,Av
AvH91,44.67750805,Av
AvH91,44.68536413,Av
AvH91,44.66965198,Av
AvH91,44.68536413,Av
AvH91,44.7639249,Av
AvH91,44.63024023,Av
AvH91,44.63024023,Av
AvH91,44.98389504,Av
AvH91,44.98389504,Av
AvH91,44.98389504,Av
AvH91,44.97603897,Av
AvH91,45.03888758,Av
AvH91,44.75606882,Av
AvH91,44.77424421,Av
AvH91,44.87663052,Av
AvH91,45.00746327,Av
AvH91,45.08602404,Av
AvH91,44.96818289,Av
AvH91,44.88176605,Av
AvH91,44.90020431,Av
AvH91,44.68804023,Av
AvH91,44.90806223,Av
AvH91,45.04674366,Av
AvH91,44.83462959,Av
AvH91,44.8974782,Av
AvH91,44.88176605,Av
AvH91,45.11744835,Av
AvH91,44.8974782,Av
AvH91,45.04164702,Av
AvH91,44.96306774,Av
AvH91,45.1331605,Av
AvH91,44.9909356,Av
AvH91,44.9996072,Av
AvH91,44.96032681,Av
AvH91,44.60680336,Av
AvH91,44.62251552,Av
AvH91,44.98389504,Av
AvH91,44.6617959,Av
AvH91,44.59894729,Av
AvH91,44.61465944,Av
AvH91,44.60680336,Av
AvH91,44.96032681,Av
AvH91,44.96032681,Av
AvH91,44.96032681,Av
AvH91,44.88962212,Av
AvH91,45.00746327,Av
AvH91,45.07031189,Av
AvH91,45.01256676,Av
AvH91,45.01531935,Av
AvH91,44.93675858,Av
AvH91,44.94461466,Av
AvH91,44.93675858,Av
AvH91,44.81891743,Av
AvH91,45.03888758,Av
AvH91,45.02317543,Av
AvH91,45.01531935,Av
AvH91,45.00746327,Av
AvH91,45.0310315,Av
AvH91,45.01531935,Av
