G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,B3.13,HuH3N8
44.50721908,44.71908349,45.08003766,45.03295669,44.87602009,,,,,,,,,,44.75831764,
44.4601381,44.75831764,45.09573132,45.03295669,44.79755179,,,,,,,,,,44.78185813,
44.48367859,44.73477715,44.94293585,45.04080352,44.76616447,,,,,,,,,,44.7740113,
44.49152542,44.65981323,44.95867769,45.04080352,44.83678594,,,,,,,,,,44.74262398,
44.50721908,44.70338983,44.97018205,45.02510986,44.84463277,,,,,,,,,,44.78970496,
44.50721908,44.80539862,44.93879473,45.02510986,44.88386692,,,,,,,,,,44.75047081,
44.49937225,44.83245704,45.07219083,45.04080352,44.89956058,,,,,,,,,,44.78185813,
44.49937225,44.79321981,44.90740741,45.04080352,44.81324545,,,,,,,,,,44.76616447,
44.49152542,44.68335557,45.09573132,45.04080352,44.82893911,,,,,,,,,,44.76616447,
44.45229127,44.67200251,45.08003766,45.04865035,44.97802888,,,,,,,,,,44.75831764,
44.44444444,44.695543,45.08788449,45.03295669,44.8524796,,,,,,,,,,44.79755179,
44.47845538,44.67200251,45.08788449,45.03295669,44.84463277,,,,,,,,,,44.78970496,
44.4706067,44.71123666,44.92310107,45.04080352,44.84463277,,,,,,,,,,44.78970496,
44.54559724,44.7225928,44.96233522,45.0094162,44.8524796,,,,,,,,,,44.75831764,
44.40781728,44.77752492,44.97018205,45.0094162,44.88386692,,,,,,,,,,44.76616447,
44.43572438,44.79200258,45.09573132,45.01726303,44.81324545,,,,,,,,,,44.76616447,
44.44706067,44.82893911,45.08788449,45.05649718,44.57784055,,,,,,,,,,44.7740113,
44.43921199,44.86736776,45.02510986,45.05649718,44.8524796,,,,,,,,,,44.7740113,
44.51420499,44.79755179,45.02510986,45.0094162,44.59353421,,,,,,,,,,44.7740113,
44.50635693,44.79755179,45.0094162,45.01726303,44.8524796,,,,,,,,,,44.76616447,
44.51420499,44.67200251,44.97802888,45.04080352,44.6170747,,,,,,,,,,44.74262398,
44.48630406,44.68769617,44.90740741,45.03295669,44.81324545,,,,,,,,,,44.74262398,
44.52291274,44.73477715,44.9309479,45.04080352,44.71123666,,,,,,,,,,44.74262398,
44.55430006,44.77319102,44.97018205,45.03295669,44.60138104,,,,,,,,,,44.7740113,
44.47583176,44.66766068,44.9309479,45.04080352,44.71908349,,,,,,,,,,44.79755179,
44.47583176,44.70172684,44.96233522,45.0094162,44.68769617,,,,,,,,,,44.78970496,
44.49152542,44.73395071,45.08003766,45.0094162,44.86817326,,,,,,,,,,44.78970496,
44.56214689,44.682521,45.07219083,45.02510986,44.71123666,,,,,,,,,,44.78970496,
44.55430006,44.69036967,45.08788449,45.06434401,44.7740113,,,,,,,,,,44.78970496,
44.47583176,44.74531042,44.97802888,45.00156937,44.71123666,,,,,,,,,,44.79755179,
44.54738164,44.72961306,44.97802888,45.00156937,44.80539862,,,,,,,,,,44.78970496,
44.57263951,44.65897496,44.98587571,45.07219083,44.66415568,,,,,,,,,,44.78185813,
44.46711662,44.70606703,44.97802888,45.05649718,44.79755179,,,,,,,,,,44.78185813,
44.46798493,44.74531042,44.99372254,45.04080352,44.8524796,,,,,,,,,,44.78185813,
44.5386064,44.79755179,44.99372254,45.05649718,44.82109228,,,,,,,,,,44.76616447,
44.50721908,44.68769617,45.00156937,45.03295669,,,,,,,,,,,44.78970496,
44.46362709,44.82893911,44.92310107,45.06434401,,,,,,,,,,,44.7740113,
44.46798493,44.78185813,45.04080352,45.06434401,,,,,,,,,,,44.78970496,
44.4601381,44.81324545,44.95448839,45.06434401,,,,,,,,,,,44.78185813,
44.51506591,44.79673521,44.9309479,45.04080352,,,,,,,,,,,44.78185813,
44.46362709,44.82109228,44.98587571,45.04080352,,,,,,,,,,,44.81324545,
44.48367859,44.80539862,45.04865035,45.07219083,,,,,,,,,,,44.81324545,
44.45069517,44.80728472,44.96233522,45.04865035,,,,,,,,,,,44.76616447,
44.4479322,44.78537236,45.0094162,45.0094162,,,,,,,,,,,44.7740113,
44.49501687,44.71123666,44.99372254,45.04080352,,,,,,,,,,,44.7740113,
44.51506591,44.73477715,44.94664156,45.06434401,,,,,,,,,,,44.75047081,
44.50985009,44.81594851,44.99372254,45.08003766,,,,,,,,,,,44.75831764,
44.52640665,44.64327761,45.03295669,45.05649718,,,,,,,,,,,44.75831764,
44.51506591,44.64762204,45.08003766,45.02510986,,,,,,,,,,,44.80539862,
44.47147454,44.64327761,44.98587571,45.04865035,,,,,,,,,,,44.78185813,
44.52640665,44.71742543,44.98587571,45.04865035,,,,,,,,,,,44.78970496,
44.4514205,44.67467232,44.89956058,45.05649718,,,,,,,,,,,44.80539862,
44.52439314,44.70606703,45.06434401,45.07219083,,,,,,,,,,,44.7740113,
44.56513184,44.66682364,44.95448839,45.08647799,,,,,,,,,,,44.80539862,
44.50286432,44.682521,45.07219083,45.04865035,,,,,,,,,,,44.7740113,
44.50766556,44.67499804,44.97802888,44.98861942,,,,,,,,,,,44.75831764,
44.49937225,44.64594128,44.98587571,45.05572124,,,,,,,,,,,44.75831764,
44.49152542,44.71448797,45.00156937,45.04080352,,,,,,,,,,,44.75831764,
44.5386064,44.70606703,45.04865035,45.04865035,,,,,,,,,,,44.7740113,
44.52291274,44.76100777,45.03295669,45.05649718,,,,,,,,,,,44.75047081,
44.48367859,44.80809984,44.99372254,45.04080352,,,,,,,,,,,44.78970496,
44.52291274,44.69471041,45.09573132,45.09573132,,,,,,,,,,,44.76616447,
44.54020716,44.75398258,44.98587571,45.09573132,,,,,,,,,,,44.76616447,
44.49152542,44.99722288,45.03295669,45.0094162,,,,,,,,,,,44.78970496,
44.52291274,44.72527473,44.8524796,45.01726303,,,,,,,,,,,44.7740113,
44.51506591,44.71040653,44.99372254,45.04865035,,,,,,,,,,,44.74262398,
44.51898035,44.65112629,44.97802888,45.04080352,,,,,,,,,,,44.78185813,
44.48367859,44.65897496,44.99372254,45.04865035,,,,,,,,,,,44.7740113,
44.5386064,44.88738915,45.00156937,45.04865035,,,,,,,,,,,44.76616447,
44.51506591,44.72610265,45.00156937,45.03295669,,,,,,,,,,,44.78185813,
44.49152542,44.68769617,44.96233522,45.02510986,,,,,,,,,,,44.7740113,
44.49152542,44.67984934,45.0094162,45.08003766,,,,,,,,,,,44.76616447,
44.51506591,44.71908349,45.0094162,45.06434401,,,,,,,,,,,44.74262398,
44.49152542,44.64061519,44.96233522,45.06434401,,,,,,,,,,,44.79755179,
44.50721908,44.65196579,44.99372254,45.03295669,,,,,,,,,,,44.76616447,
44.53754941,44.71908349,45.0094162,45.06434401,,,,,,,,,,,44.75047081,
44.45404556,44.68152114,44.99372254,45.07219083,,,,,,,,,,,44.76616447,
44.41037736,44.68051621,44.92310107,45.00156937,,,,,,,,,,,44.76616447,
44.4278058,44.76100777,45.0094162,44.99372254,,,,,,,,,,,44.78970496,
44.48474336,44.70338983,45.08788449,45.04865035,,,,,,,,,,,44.75047081,
44.51257862,44.65630885,44.99372254,44.99372254,,,,,,,,,,,44.78970496,
44.54179493,44.70606703,44.97018205,45.04080352,,,,,,,,,,,44.79755179,
44.56109883,44.63276836,44.93879473,45.02510986,,,,,,,,,,,44.78970496,
44.48642267,44.67984934,44.99372254,45.01726303,,,,,,,,,,,44.75831764,
44.46624804,44.75047081,45.07219083,44.98587571,,,,,,,,,,,44.78185813,
44.50721908,44.70338983,45.00156937,45.01726303,,,,,,,,,,,44.75047081,
44.44444444,44.67200251,44.94664156,45.04080352,,,,,,,,,,,44.7740113,
44.5386064,44.67200251,45.09573132,45.04080352,,,,,,,,,,,44.79755179,
44.47583176,44.67200251,44.97018205,44.97802888,,,,,,,,,,,44.74262398,
44.5386064,44.70338983,45.01726303,44.99372254,,,,,,,,,,,44.75047081,
44.42090395,44.71123666,45.10357815,44.98077074,,,,,,,,,,,44.76616447,
